date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:01	427/427	---M-Z	200	added ('OK')	text/xml	date:Wed,%2014%20Jan%202026%2009:12:02%20GMT	https://www.sali-group.com/sitemap.xml	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/sitemap.xml	(from https://www.sali-group.com/)
12:12:02	59443/59443	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:12:02%20GMT	https://www.sali-group.com/showroom/plisher-with-1400w-power/	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/showroom/plisher-with-1400w-power/index.html	(from https://www.sali-group.com/)
12:12:02	89669/89669	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f18c0ab3cbdda1:0%22	https://js01.v15cdn.com/jquery-3.6.1.js	C:/My%20Web%20Sites/dsdsds/js01.v15cdn.com/jquery-3.6.1.js	(from https://www.sali-group.com/)
12:12:03	7894/7894	---MCZ	200	added ('OK')	application/javascript	etag:W/%228245bb2fe173dc1:0%22	https://js01.v15cdn.com/sitescript.js	C:/My%20Web%20Sites/dsdsds/js01.v15cdn.com/sitescript.js	(from https://www.sali-group.com/)
12:12:04	26412/26412	---MCZ	200	added ('OK')	application/javascript	etag:W/%229243dd3d8570dc1:0%22	https://js01.v15cdn.com/count.js	C:/My%20Web%20Sites/dsdsds/js01.v15cdn.com/count.js	(from https://www.sali-group.com/)
12:12:05	142800/142800	---MCZ	200	added ('OK')	application/javascript	etag:W/%22615cfa46649dc1:0%22	https://js02.v15cdn.com/m434/swiper.js	C:/My%20Web%20Sites/dsdsds/js02.v15cdn.com/m434/swiper.js	(from https://www.sali-group.com/)
12:12:06	31364/31364	---MCZ	200	added ('OK')	application/javascript	etag:W/%221df9f746649dc1:0%22	https://js02.v15cdn.com/m434/style.js	C:/My%20Web%20Sites/dsdsds/js02.v15cdn.com/m434/style.js	(from https://www.sali-group.com/)
12:12:06	22973/22973	---MCZ	200	added ('OK')	application/javascript	etag:W/%226294e946649dc1:0%22	https://js02.v15cdn.com/m434/home.js	C:/My%20Web%20Sites/dsdsds/js02.v15cdn.com/m434/home.js	(from https://www.sali-group.com/)
12:12:07	4215/4215	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b32afd545e2da1:0%22	https://www.sali-group.com/Content/File_Img/27152/float27152.js	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/Content/File_Img/27152/float27152.js	(from https://www.sali-group.com/)
12:12:07	2445/2445	---MCZ	200	added ('OK')	text/css	etag:W/%2276408cd31a73dc1:0%22	https://css02.v15cdn.com/m434/fonts/iconfont.css	C:/My%20Web%20Sites/dsdsds/css02.v15cdn.com/m434/fonts/iconfont.css	(from https://css02.v15cdn.com/m434/green/style.css)
12:12:08	16194/16194	---MCZ	200	added ('OK')	text/css	etag:W/%2235691d31a73dc1:0%22	https://css02.v15cdn.com/m434/swiper.css	C:/My%20Web%20Sites/dsdsds/css02.v15cdn.com/m434/swiper.css	(from https://css02.v15cdn.com/m434/green/style.css)
12:12:09	6739/6739	---MCZ	200	added ('OK')	text/css	etag:W/%22fa1c5cb6c3da1:0%22	https://css01.v15cdn.com/toastr.min.css	C:/My%20Web%20Sites/dsdsds/css01.v15cdn.com/toastr.min.css	(from https://css02.v15cdn.com/m434/green/style.css)
12:12:10	9689/9689	---MCZ	200	added ('OK')	text/css	etag:W/%22c8ce7db63c6db1:0%22	https://css01.v15cdn.com/language.css	C:/My%20Web%20Sites/dsdsds/css01.v15cdn.com/language.css	(from https://css02.v15cdn.com/m434/green/style.css)
12:12:10	26079/26079	---MCZ	200	added ('OK')	text/css	etag:W/%2235691d31a73dc1:0%22	https://css02.v15cdn.com/m434/aos.css	C:/My%20Web%20Sites/dsdsds/css02.v15cdn.com/m434/aos.css	(from https://css02.v15cdn.com/m434/green/home.css)
12:12:11	44461/44461	---MCZ	200	added ('OK')	text/css	etag:W/%2250cea1d31a73dc1:0%22	https://css02.v15cdn.com/m434/green/page.css	C:/My%20Web%20Sites/dsdsds/css02.v15cdn.com/m434/green/page.css	(from https://www.sali-group.com/products)
12:12:11	8556/8556	---MCZ	200	added ('OK')	text/css	etag:W/%2222f98d31a73dc1:0%22	https://css02.v15cdn.com/m434/green/pagemob.css	C:/My%20Web%20Sites/dsdsds/css02.v15cdn.com/m434/green/pagemob.css	(from https://www.sali-group.com/products)
12:12:11	567/567	---MCZ	200	added ('OK')	text/css	etag:W/%22d7e38e62e42ddc1:0%22	https://www.sali-group.com/images/27152/other.css?rnd=153152	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/images/27152/other0ece.css	(from https://www.sali-group.com/products)
12:12:13	35580/35580	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:12:13%20GMT	https://www.sali-group.com/bonded-abrasives/sali-diamond-concrete-grinding-wheels.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/bonded-abrasives/sali-diamond-concrete-grinding-wheels.html	(from https://www.sali-group.com/products)
12:12:14	9028/9028	---MCZ	200	added ('OK')	application/javascript	etag:W/%227131e746649dc1:0%22	https://js02.v15cdn.com/m434/page.js	C:/My%20Web%20Sites/dsdsds/js02.v15cdn.com/m434/page.js	(from https://www.sali-group.com/products)
12:12:14	19794/19794	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cd0961efcd5db1:0%22	https://js01.v15cdn.com/leavemessage.js?id=27152&langid=625764&lang=en&a=1	C:/My%20Web%20Sites/dsdsds/js01.v15cdn.com/leavemessage697b.js	(from https://www.sali-group.com/products)
12:12:15	79764/79764	---M--	200	added ('OK')	image/jpeg	etag:%22f33b1efc17741ba91b727c8c3f65bf14aa3303f7%22	https://www.sali-group.com/uploads/27152/list/n202509191722487c711.jpg	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/uploads/27152/list/n202509191722487c711.jpg	(from https://www.sali-group.com/bonded-abrasives/)
12:12:15	567/567	---MCZ	200	added ('OK')	text/css	etag:W/%22d7e38e62e42ddc1:0%22	https://www.sali-group.com/images/27152/other.css?rnd=152742	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/images/27152/other080e.css	(from https://www.sali-group.com/bonded-abrasives/)
12:12:16	61312/61312	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:12:16%20GMT	https://www.sali-group.com/bonded-abrasives/page-2/	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/bonded-abrasives/page-2/index.html	(from https://www.sali-group.com/bonded-abrasives/)
